#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
328,Dillon Dingler,DET,R,C,C,71,231,209,24.3,6.2,23.2,2.0,46.5,30.0,9.4,0.9,76.3,64.4,16.4,2.9,1.6,0.7,0.5,0.222,0.285,0.364,0.649,0.287,693307
329,Dane Myers,MIA,R,OF,OF,70,230,209,23.4,5.0,21.5,4.7,50.0,35.1,9.1,0.9,75.8,63.8,16.0,3.2,1.6,0.6,1.3,0.240,0.301,0.363,0.665,0.319,667472
330,Brandon Drury,CHW,R,2B,1B/2B/ 3B,69,229,209,23.5,7.1,25.3,1.0,48.4,29.1,11.6,0.6,82.3,53.9,14.4,3.0,1.6,0.4,0.3,0.231,0.287,0.393,0.680,0.276,11615
331,Victor Caratini,HOU,S,C,C/1B,71,229,203,26.4,6.3,24.9,1.3,50.0,35.7,7.2,0.8,77.9,46.9,19.2,3.6,1.6,0.6,0.4,0.246,0.319,0.383,0.702,0.289,605170
332,Connor Joe,SD,R,1B/OF,1B/OF,72,229,199,26.2,5.5,23.0,2.3,45.4,28.7,10.5,0.8,73.8,55.0,24.1,3.2,1.6,0.4,0.8,0.228,0.318,0.371,0.689,0.285,656582
333,Donovan Solano,SEA,R,1B/3B,1B/3B,71,228,206,22.6,3.5,20.6,1.2,51.9,37.3,10.7,0.4,74.0,50.7,16.1,3.9,1.6,0.5,0.3,0.252,0.315,0.359,0.674,0.315,8623
334,Javier Baez,DET,R,SS,SS,70,228,212,23.1,5.9,23.5,4.4,49.5,33.7,9.1,0.9,78.0,53.4,11.0,2.4,1.6,0.6,1.1,0.233,0.276,0.367,0.644,0.282,12979
335,David Fry,CLE,R,C/1B/ OF,C/1B/ OF,71,228,201,26.4,6.9,25.4,2.2,48.7,29.9,11.2,0.7,82.1,53.3,20.9,4.1,1.6,0.4,0.6,0.243,0.323,0.408,0.731,0.293,681807
336,Elias Diaz,SD,R,C,C,71,227,208,23.1,5.2,22.4,0.5,47.0,31.6,9.7,0.4,73.1,53.7,14.8,1.8,1.6,0.6,0.2,0.226,0.281,0.352,0.633,0.278,11680
337,Jason Heyward,SD,L,OF,OF,69,224,201,25.1,6.6,25.2,2.8,46.7,27.4,11.9,0.8,79.9,48.2,18.1,2.7,1.6,0.6,0.8,0.233,0.301,0.398,0.700,0.272,4940
338,Yasmani Grandal,FA,S,C,C,70,224,196,25.0,6.2,23.3,1.1,46.0,31.6,7.9,0.3,73.1,47.2,23.8,1.9,1.6,0.6,0.3,0.234,0.320,0.372,0.692,0.275,11368
339,Kevin Newman,LAA,R,2B/SS,2B/SS,71,224,207,22.9,2.4,19.6,4.9,50.8,37.6,9.9,0.8,69.6,38.4,12.5,1.9,1.6,0.7,1.2,0.245,0.291,0.336,0.627,0.288,621028
340,James McCann,FA,R,C,C,71,223,205,23.7,5.9,22.8,2.3,46.3,31.1,8.9,0.4,73.8,57.9,12.7,3.0,1.6,0.8,0.6,0.226,0.277,0.359,0.637,0.282,12859
341,Eguy Rosario,SD,R,3B,3B,71,223,200,26.0,7.1,25.0,5.3,45.8,27.1,10.7,1.0,79.7,56.5,18.4,2.3,1.6,0.7,1.6,0.230,0.299,0.399,0.698,0.282,666703
342,Jordan Lawlar,ARI,R,SS,SS,64,223,198,25.0,4.8,22.2,6.7,48.2,33.7,8.4,1.3,73.6,54.3,19.3,2.9,1.6,0.7,1.8,0.243,0.316,0.371,0.687,0.307,691783
343,Christian Vazquez,MIN,R,C,C,71,222,206,22.9,4.2,21.2,2.1,48.9,34.7,9.6,0.3,71.8,47.1,12.2,1.6,1.6,0.8,0.7,0.237,0.282,0.348,0.630,0.285,9774
344,Max Schuemann,ATH,R,SS/3B,2B/SS/ 3B/OF,73,221,194,23.2,3.0,18.3,5.8,40.8,28.7,8.5,0.6,59.3,60.9,21.6,3.6,1.6,0.8,1.4,0.211,0.298,0.307,0.605,0.288,680474
345,Joshua Palacios,PIT,L,OF,OF,71,220,199,25.4,5.3,22.9,4.2,50.3,33.2,11.1,0.7,78.8,46.8,16.6,2.4,1.5,0.6,1.2,0.253,0.316,0.396,0.712,0.303,641943
346,Ben Rortvedt,TB,L,C,C,71,220,193,22.5,4.4,19.4,1.2,41.4,28.5,8.1,0.4,63.5,59.6,21.5,2.6,1.6,0.7,0.3,0.214,0.299,0.329,0.627,0.283,666163
347,Robbie Grossman,FA,S,OF,OF,65,219,189,23.3,4.5,19.7,1.9,40.9,27.2,8.7,0.4,64.0,56.7,26.3,2.0,1.5,0.5,0.5,0.216,0.315,0.339,0.654,0.281,5254
348,Jon Berti,CHC,R,SS/3B,SS/3B,69,219,197,24.0,3.1,18.9,9.3,48.1,36.6,7.4,1.0,66.8,47.4,17.9,1.9,1.5,0.7,2.2,0.244,0.310,0.339,0.648,0.303,12037
349,Alex Call,WSH,R,OF,OF,70,219,187,24.5,4.9,20.3,5.7,42.0,27.6,9.0,0.5,66.8,45.1,26.3,3.2,1.5,0.7,1.7,0.225,0.326,0.357,0.683,0.268,669743
350,Jerar Encarnacion,SF,R,OF,OF,65,215,192,24.1,7.7,23.9,1.5,44.4,29.9,6.3,0.5,74.8,71.7,19.0,1.5,1.5,0.5,0.4,0.231,0.302,0.389,0.692,0.320,666464
351,Blaze Alexander,ARI,R,SS,2B/SS/ 3B,65,214,193,22.3,3.7,19.3,2.7,44.3,31.7,7.8,1.0,65.3,64.8,15.8,3.4,1.5,0.7,0.8,0.229,0.296,0.338,0.634,0.321,677942
352,Cole Young,SEA,L,SS,SS,66,211,186,21.4,2.9,17.8,4.6,42.7,28.2,11.1,0.5,63.5,41.8,20.2,2.5,1.5,0.6,1.4,0.229,0.310,0.341,0.652,0.279,702284
353,Nick Loftin,KC,R,2B,1B/2B/ 3B,65,210,186,22.8,3.8,20.2,2.6,46.4,33.4,8.8,0.4,67.5,35.1,18.7,2.4,1.5,0.6,0.7,0.249,0.322,0.362,0.684,0.286,679845
354,Andy Pages,LAD,R,OF,OF,65,210,189,26.9,7.9,27.1,1.9,46.7,26.3,12.0,0.6,83.4,48.7,16.3,2.9,1.5,0.5,0.6,0.247,0.314,0.442,0.756,0.291,681624
355,Tyler Wade,SD,L,2B/SS/ 3B/OF,2B/SS/ 3B/OF,65,209,188,20.4,2.0,16.5,9.7,41.5,29.4,9.6,0.5,58.1,50.6,16.5,1.9,1.5,0.7,2.5,0.220,0.287,0.309,0.595,0.289,15730
356,Orelvis Martinez,TOR,R,2B,2B,65,209,188,24.5,7.8,24.8,1.0,41.1,22.9,10.0,0.4,75.3,53.3,15.9,2.5,1.5,0.6,0.3,0.219,0.285,0.400,0.685,0.259,682619
357,Agustin Ramirez,MIA,R,C,C,64,208,187,22.2,5.5,20.8,3.7,42.9,28.0,8.9,0.6,69.5,44.2,17.3,2.0,1.5,0.6,1.0,0.230,0.299,0.372,0.671,0.270,682663
358,Addison Barger,TOR,L,3B/OF,3B/OF,65,206,184,23.2,5.7,22.8,2.0,42.8,25.3,11.5,0.3,72.0,51.1,18.4,1.9,1.4,0.5,0.6,0.233,0.306,0.392,0.698,0.289,680718
359,Luis Matos,SF,R,OF,OF,65,206,188,22.4,5.3,21.8,3.0,46.7,32.8,8.1,0.6,71.9,28.2,13.0,2.4,1.4,0.6,0.8,0.249,0.303,0.382,0.684,0.265,682641
360,Gary Sanchez,BAL,R,C,C,63,205,181,23.1,7.9,24.1,0.7,38.8,24.4,5.9,0.5,69.4,54.7,18.4,3.0,1.4,0.5,0.2,0.214,0.295,0.384,0.678,0.258,11442
361,Matt Mervis,MIA,L,DH,1B,65,203,181,21.3,6.5,20.9,1.3,39.4,25.2,7.2,0.4,67.1,57.3,18.1,2.6,1.4,0.6,0.4,0.218,0.297,0.371,0.668,0.279,670223
362,Adrian Del Castillo,ARI,L,C,C,63,203,182,23.2,5.6,22.1,1.1,43.6,28.3,8.9,0.8,70.8,48.8,18.3,1.6,1.4,0.6,0.3,0.240,0.313,0.390,0.703,0.295,680728
363,Pedro Pages,STL,R,C,C,64,203,183,21.8,5.1,20.2,1.4,41.2,27.8,7.3,1.0,65.8,52.1,16.1,1.6,1.5,0.7,0.4,0.225,0.291,0.359,0.650,0.284,686780
364,Miguel Rojas,LAD,R,SS,2B/SS/ 3B,63,202,185,23.0,3.3,21.0,4.0,48.0,32.6,11.7,0.4,70.5,24.1,12.1,2.2,1.4,0.6,1.0,0.259,0.308,0.381,0.689,0.280,7802
365,Ben Gamel,HOU,L,OF,OF,64,202,174,22.6,4.5,19.8,1.4,40.5,28.1,7.1,0.8,62.6,53.5,23.5,1.6,1.5,0.7,0.5,0.232,0.324,0.359,0.683,0.305,12160
366,Kyle Farmer,COL,R,2B/3B,2B/SS/ 3B,63,202,184,22.6,4.9,21.2,3.3,46.9,33.4,7.7,0.9,71.2,40.6,12.3,3.8,1.4,0.5,1.2,0.255,0.311,0.387,0.698,0.300,14813
367,Ramon Urias,BAL,R,3B,3B,64,201,181,23.1,4.9,21.8,1.5,45.8,32.6,7.3,1.0,70.1,44.1,14.5,2.8,1.4,0.6,0.4,0.253,0.315,0.387,0.702,0.307,602104
368,Ramon Laureano,BAL,R,OF,OF,63,201,181,21.6,5.6,21.5,4.3,41.5,27.6,7.4,1.0,67.6,56.9,13.3,3.8,1.4,0.4,1.3,0.229,0.292,0.373,0.665,0.299,657656
369,Sean Bouchard,COL,R,OF,OF,63,199,173,23.9,6.0,21.9,4.1,41.8,26.5,7.6,1.7,70.9,55.0,21.5,2.4,1.4,0.6,1.1,0.242,0.330,0.410,0.739,0.316,656248
370,Taylor Walls,TB,S,SS,SS,62,196,170,19.7,3.1,16.1,9.6,34.6,23.2,6.9,1.4,53.6,49.6,22.9,1.1,1.4,0.7,2.1,0.204,0.299,0.316,0.615,0.266,670764
371,Joey Gallo,CHW,L,1B,1B/OF,62,195,164,20.6,8.2,20.7,1.9,28.5,15.1,4.9,0.3,58.6,74.4,26.6,1.9,1.4,0.5,0.5,0.174,0.293,0.359,0.651,0.247,14128
372,Drew Romo,COL,S,C,C,64,194,180,21.5,4.4,20.2,2.5,44.8,31.5,7.7,1.2,68.1,38.5,9.3,2.0,1.4,0.7,0.7,0.249,0.290,0.378,0.668,0.292,691011
373,Jacob Stallings,COL,R,C,C,64,192,169,21.6,4.2,18.9,1.1,40.2,28.3,7.2,0.5,60.9,44.7,17.1,3.0,1.4,0.7,0.3,0.238,0.315,0.360,0.675,0.297,13723
374,Grant McCray,SF,L,OF,OF,65,191,173,20.5,4.2,18.4,5.2,37.7,24.2,7.9,1.4,61.1,61.4,14.4,1.7,1.4,0.6,1.3,0.218,0.282,0.353,0.635,0.309,687529
375,Michael A. Taylor,CHW,R,OF,OF,64,189,172,18.7,5.3,18.2,4.9,35.8,23.4,6.7,0.5,59.3,62.5,12.8,1.3,1.4,0.6,1.2,0.208,0.265,0.344,0.609,0.288,11489
376,Jose Trevino,CIN,R,C,C,62,189,174,22.2,5.6,21.7,1.6,42.7,27.1,9.7,0.4,69.9,33.6,11.2,1.7,1.4,0.7,0.5,0.245,0.294,0.401,0.695,0.272,624431
377,Jose Iglesias,FA,R,2B/3B,2B/SS/ 3B,58,186,174,19.7,2.7,17.8,2.1,47.1,34.1,9.7,0.5,66.0,29.9,8.0,2.4,1.3,0.5,0.6,0.271,0.308,0.379,0.687,0.311,10231
378,Jake Mangum,TB,S,OF,OF,58,182,169,17.9,2.0,16.1,4.3,43.2,31.2,9.2,0.9,59.9,38.2,8.4,2.0,1.3,0.5,1.2,0.254,0.296,0.354,0.649,0.316,663968
379,Randal Grichuk,ARI,R,OF,OF,56,178,164,20.3,5.3,20.6,0.8,41.8,28.0,7.6,0.8,67.0,37.6,10.5,2.0,1.3,0.3,0.3,0.255,0.306,0.409,0.715,0.299,10243
380,Tyler Locklear,SEA,R,1B,1B,58,178,157,18.8,4.9,17.5,1.8,34.3,21.2,7.5,0.6,57.8,51.1,15.5,3.3,1.2,0.5,0.5,0.219,0.300,0.369,0.669,0.288,682988
381,Will Benson,CIN,L,OF,OF,58,177,152,21.8,5.5,18.8,7.9,31.9,17.4,7.8,1.1,58.4,59.2,22.1,1.8,1.3,0.6,2.1,0.210,0.315,0.385,0.700,0.298,666181
382,Dairon Blanco,KC,R,OF,OF,58,175,158,19.7,3.5,17.6,22.6,40.3,28.9,6.9,1.0,59.7,42.3,12.1,2.6,1.2,0.5,5.2,0.255,0.315,0.378,0.694,0.324,680118
383,Graham Pauley,MIA,L,3B,1B/3B,58,174,156,18.1,4.7,17.2,2.2,35.3,23.5,6.6,0.5,56.8,41.7,14.6,1.9,1.2,0.5,0.6,0.226,0.298,0.364,0.662,0.276,688363
384,Michael Siani,STL,L,OF,OF,57,173,153,18.2,2.4,14.2,7.5,33.4,24.4,5.6,0.9,48.0,42.8,16.1,1.4,1.2,0.6,1.7,0.218,0.295,0.313,0.608,0.283,672279
385,Travis Jankowski,FA,L,OF,OF,57,172,152,17.0,1.5,13.7,6.8,36.0,27.2,6.7,0.5,48.2,34.7,16.7,2.1,1.2,0.5,1.6,0.237,0.318,0.318,0.636,0.295,13768
386,Andy Ibanez,DET,R,2B,1B/2B/ 3B,57,171,157,17.6,3.4,16.5,1.9,38.0,26.0,8.0,0.6,57.5,35.5,11.6,1.6,1.2,0.5,0.6,0.242,0.299,0.367,0.666,0.291,628451
387,Trent Grisham,NYY,L,OF,OF,58,171,147,21.4,5.6,19.2,3.2,30.7,17.1,7.7,0.3,55.9,46.4,19.5,2.2,1.2,0.6,0.8,0.209,0.308,0.381,0.688,0.261,663757
388,Kevin Pillar,FA,R,OF,OF,57,168,155,18.1,4.6,18.0,4.2,35.9,23.4,7.4,0.5,58.1,38.5,8.8,2.6,1.2,0.3,1.3,0.231,0.281,0.374,0.655,0.276,12434
389,Tyler Heineman,TOR,S,C,C,57,168,148,17.1,1.9,13.7,2.7,30.9,22.0,6.3,0.7,44.4,37.0,15.9,2.7,1.2,0.5,0.7,0.209,0.295,0.301,0.596,0.264,13897
390,Luke Maile,KC,R,C,C,56,166,147,17.6,2.8,14.9,2.3,32.3,22.4,6.6,0.4,48.3,44.6,13.6,2.7,1.2,0.6,0.5,0.219,0.293,0.328,0.621,0.292,13355
391,Oliver Dunn,MIL,L,3B,3B,56,165,145,17.9,4.2,15.8,3.8,30.4,19.1,6.1,1.1,51.2,55.8,17.0,1.8,1.2,0.6,0.8,0.210,0.298,0.354,0.652,0.305,686554
392,Austin Hedges,CLE,R,C,C,57,163,150,15.0,3.1,13.6,2.0,28.3,19.7,5.2,0.3,43.4,45.2,9.8,2.1,1.2,0.6,0.5,0.189,0.246,0.291,0.537,0.246,12976
393,Tom Murphy,SF,R,C,C,55,162,144,17.1,4.4,16.2,1.3,32.3,22.0,5.3,0.5,51.8,44.4,14.8,1.5,1.2,0.5,0.4,0.224,0.300,0.359,0.659,0.289,13499
394,Chase DeLauter,CLE,L,OF,OF,51,161,146,19.3,4.8,18.7,1.9,38.1,23.2,9.7,0.4,63.0,30.0,12.4,1.5,1.1,0.5,0.5,0.261,0.322,0.432,0.754,0.297,800050
395,Joey Wiemer,KC,R,OF,OF,52,158,141,17.1,3.3,14.8,3.9,30.4,20.3,6.4,0.4,47.5,44.5,14.3,1.5,1.1,0.5,1.0,0.216,0.291,0.337,0.628,0.288,686894
396,Jon Singleton,HOU,L,1B,1B,51,157,135,17.5,5.1,17.0,0.5,29.0,19.0,4.4,0.5,49.8,44.1,19.7,0.6,1.1,0.3,0.1,0.216,0.315,0.370,0.684,0.276,572138
397,Eddie Rosario,LAD,L,OF,OF,51,156,144,16.8,5.1,18.1,2.8,32.2,20.1,6.5,0.6,55.1,38.1,9.4,0.8,1.1,0.3,0.8,0.223,0.272,0.383,0.655,0.266,12155
398,Rob Refsnyder,BOS,R,OF,OF,50,155,135,18.8,4.1,16.4,2.1,34.7,23.7,6.4,0.5,54.4,38.9,15.5,2.6,1.1,0.4,0.6,0.257,0.342,0.403,0.745,0.329,13770
399,Zach McKinstry,DET,L,SS/3B/ OF,2B/SS/ 3B/OF,51,154,139,16.0,2.7,13.5,5.0,32.0,22.8,5.0,1.5,48.1,33.1,12.6,1.4,1.0,0.5,1.3,0.230,0.298,0.346,0.644,0.281,656716
400,Nelson Velazquez,KC,R,OF,OF,51,153,137,17.7,5.7,18.2,2.1,31.1,19.0,5.9,0.6,55.2,41.8,13.1,1.6,1.1,0.3,0.6,0.227,0.299,0.403,0.701,0.280,676369
401,Luis Torrens,NYM,R,C,C,50,152,139,16.4,4.0,15.8,1.4,31.0,20.7,6.1,0.3,49.5,40.1,10.7,1.6,1.1,0.5,0.4,0.223,0.284,0.356,0.640,0.282,620443
402,Jared Triolo,PIT,R,2B/3B,1B/2B/ SS/3B,51,152,133,15.4,2.4,13.2,2.8,32.2,23.5,5.8,0.5,46.4,38.7,15.4,1.5,1.1,0.4,0.7,0.242,0.324,0.348,0.672,0.319,669707
403,Daniel Schneemann,CLE,L,SS/OF,2B/SS/ 3B/OF,51,152,134,15.6,3.0,13.9,2.5,29.5,18.5,7.4,0.5,47.0,41.2,15.4,0.9,1.1,0.4,0.7,0.219,0.300,0.350,0.650,0.290,682177
404,Alexander Canario,CHC,R,OF,OF,51,150,135,17.0,5.6,16.9,2.1,29.1,17.7,5.5,0.4,52.2,47.5,11.6,1.5,1.0,0.4,0.6,0.216,0.283,0.387,0.670,0.284,672744
405,Travis Bazzana,CLE,L,2B,2B,51,150,137,12.9,2.2,11.5,2.2,26.2,18.5,5.2,0.3,38.6,41.6,9.5,1.8,1.1,0.4,0.6,0.191,0.250,0.281,0.530,0.253,683953
406,Yuli Gurriel,FA,R,1B,1B,50,149,135,15.9,2.9,14.9,2.0,34.0,23.7,6.9,0.5,50.5,27.0,11.7,1.2,1.0,0.3,0.5,0.252,0.314,0.374,0.689,0.293,19198
407,Carlos Narvaez,BOS,R,C,C,50,149,130,16.1,3.2,13.7,1.6,28.0,19.2,5.3,0.2,43.3,44.2,15.2,2.0,1.0,0.4,0.4,0.215,0.304,0.334,0.637,0.296,665966
408,Javier Sanoja,MIA,R,3B,3B,51,149,137,15.1,1.6,13.2,3.4,35.8,26.0,7.3,0.9,49.6,14.4,9.9,0.9,1.0,0.5,1.1,0.261,0.312,0.362,0.674,0.279,691594
409,Ezequiel Duran,TEX,R,3B/OF,1B/SS/ 3B/OF,51,148,138,16.4,3.6,16.2,2.5,34.7,23.5,7.0,0.6,53.7,34.4,7.8,1.3,1.1,0.4,0.8,0.252,0.296,0.391,0.686,0.309,677649
410,Nick Senzel,FA,R,3B,3B,50,147,132,14.8,3.3,14.0,2.1,29.0,19.9,5.6,0.2,45.0,32.5,12.9,1.3,1.0,0.4,0.8,0.221,0.294,0.342,0.636,0.266,669222
411,Billy Cook,PIT,R,OF,1B/OF,51,147,133,15.8,4.0,14.8,3.9,30.3,19.9,5.7,0.6,49.3,41.0,10.3,1.7,1.1,0.5,0.9,0.227,0.289,0.370,0.659,0.295,695257
412,Yan Gomes,FA,R,C,C,50,146,136,15.0,3.4,14.7,1.0,31.5,21.6,6.0,0.5,48.7,35.2,6.4,2.0,1.1,0.5,0.2,0.231,0.274,0.357,0.631,0.285,9627
413,Noelvi Marte,CIN,R,3B,3B,44,146,134,16.3,3.9,15.9,4.5,32.3,20.0,8.1,0.3,52.5,36.2,9.5,1.4,1.0,0.4,1.3,0.241,0.295,0.393,0.689,0.300,682622
414,Luisangel Acuna,NYM,R,SS,SS,51,146,136,16.5,2.5,14.5,6.9,33.6,24.6,5.6,0.9,48.4,27.6,8.3,0.9,1.0,0.5,1.9,0.248,0.293,0.357,0.650,0.292,682668
415,Brett Wisely,SF,L,2B/SS,2B/SS,51,146,132,15.4,2.5,13.4,2.9,30.5,20.8,6.7,0.5,45.9,34.7,11.8,1.2,1.0,0.5,0.9,0.232,0.297,0.348,0.646,0.293,689172
416,Angel Martinez,CLE,S,OF,3B/OF,42,145,131,14.9,2.9,14.1,2.3,31.4,20.3,7.8,0.4,48.8,28.5,11.2,1.5,1.0,0.5,0.7,0.239,0.303,0.372,0.675,0.282,682657
417,Liam Hicks,MIA,L,C,C,50,145,125,14.5,1.7,11.3,1.0,29.1,22.0,5.1,0.3,39.8,26.1,16.0,2.6,1.0,0.4,0.3,0.233,0.330,0.319,0.649,0.280,689414
418,Luis Urias,FA,R,2B/3B,2B/3B,50,144,124,16.5,3.6,14.4,1.2,28.1,18.5,5.7,0.3,45.2,32.7,14.9,3.3,1.0,0.5,0.4,0.226,0.321,0.364,0.685,0.274,649966
419,Nick Yorke,PIT,R,2B,2B,44,144,130,15.4,2.9,13.9,3.1,33.2,23.4,6.5,0.3,49.1,31.5,12.0,1.2,1.0,0.5,1.0,0.256,0.322,0.378,0.700,0.313,694377
420,Christian Bethancourt,TOR,R,C,C,50,143,134,15.7,4.2,15.8,2.1,30.3,18.8,7.1,0.2,50.3,37.3,6.5,1.0,1.0,0.5,0.5,0.226,0.265,0.376,0.641,0.280,10028
421,Stuart Fairchild,CIN,R,OF,OF,45,143,127,16.5,4.2,15.6,5.0,28.8,16.8,7.4,0.4,49.7,39.7,11.7,2.8,1.0,0.4,1.3,0.226,0.303,0.391,0.694,0.292,656413
422,Santiago Espinal,CIN,R,2B/3B,2B/SS/ 3B,51,143,130,16.6,2.4,14.7,2.9,34.5,23.3,8.7,0.2,50.7,21.0,10.0,1.1,1.0,0.4,0.8,0.265,0.319,0.389,0.708,0.298,669289
423,Matt Carpenter,FA,L,DH,1B,49,142,124,14.8,3.6,13.4,1.1,25.0,15.5,5.6,0.3,42.0,44.3,15.5,1.7,1.0,0.4,0.3,0.202,0.297,0.340,0.637,0.279,8090
424,Jorge Mateo,BAL,R,2B,2B/SS/ OF,49,139,129,14.9,3.1,14.3,9.4,29.8,20.0,5.9,0.9,46.6,34.3,7.5,1.2,1.0,0.5,2.0,0.232,0.277,0.362,0.639,0.290,17273
425,Rafael Marchan,PHI,S,C,C,49,139,123,15.5,2.7,13.5,1.1,29.0,20.3,5.6,0.5,43.6,24.7,12.2,2.2,1.0,0.5,0.3,0.235,0.312,0.353,0.665,0.271,665561
426,Joey Loperfido,TOR,L,OF,OF,44,137,124,15.2,3.2,13.6,2.9,26.7,16.5,6.3,0.8,44.1,43.5,10.0,1.6,1.0,0.4,0.8,0.216,0.280,0.355,0.635,0.302,694388
427,Brooks Baldwin,CHW,S,2B,2B/SS,43,133,121,13.8,2.7,12.7,3.2,29.8,20.6,6.3,0.2,44.5,27.9,8.7,1.0,0.9,0.4,0.8,0.246,0.298,0.368,0.666,0.296,681460
428,Brock Wilken,MIL,R,3B,3B,40,133,118,13.4,3.5,12.2,0.7,23.3,15.3,4.2,0.3,38.6,41.7,12.7,1.1,0.9,0.4,0.2,0.198,0.280,0.328,0.608,0.270,694385
429,Brett Baty,NYM,L,3B,3B,40,130,116,15.1,4.0,14.5,0.6,27.4,17.9,5.4,0.2,45.0,31.9,11.6,1.2,0.9,0.3,0.2,0.236,0.310,0.388,0.698,0.288,683146
430,Jacob Melton,HOU,L,OF,OF,40,127,116,13.6,3.6,13.4,4.7,26.1,17.8,4.2,0.5,42.1,31.9,8.1,0.9,0.9,0.4,1.2,0.224,0.277,0.362,0.638,0.276,689200
431,Justyn-Henry Malloy,DET,R,OF,OF,34,123,105,13.3,3.1,11.7,0.9,23.1,15.2,4.5,0.3,37.5,37.0,15.7,1.5,0.8,0.3,0.3,0.220,0.328,0.358,0.686,0.305,669234
432,Kristian Campbell,BOS,R,2B,2B,34,123,107,15.0,3.0,13.3,3.0,28.5,19.4,5.5,0.6,44.1,27.8,12.1,1.7,0.9,0.4,0.9,0.265,0.345,0.411,0.756,0.330,692225
433,Gavin Sheets,SD,L,1B/OF,1B/OF,41,121,110,13.2,3.3,13.2,0.7,25.7,15.5,6.6,0.2,42.7,27.0,9.6,1.0,0.8,0.2,0.2,0.234,0.298,0.389,0.688,0.278,657757
434,Gage Workman,CHC,S,SS,SS,34,115,105,11.6,2.3,10.6,3.1,22.9,15.1,4.7,0.7,35.9,37.6,8.7,0.8,0.8,0.3,0.9,0.219,0.281,0.343,0.625,0.314,669398
435,Edmundo Sosa,PHI,R,2B/SS/ 3B,2B/SS/ 3B,34,114,105,12.2,2.5,12.0,2.1,25.6,16.9,5.2,0.9,40.2,27.7,4.9,2.5,0.8,0.3,0.6,0.243,0.290,0.383,0.673,0.304,624641
436,Weston Wilson,PHI,R,OF,2B/3B/ OF,34,114,101,12.9,3.7,12.4,2.9,22.0,13.7,4.3,0.3,38.0,32.8,11.1,0.8,0.8,0.3,0.8,0.218,0.299,0.377,0.676,0.281,642215
437,Gabriel Arias,CLE,R,3B,SS/3B/ OF,34,114,105,12.0,2.9,11.9,2.9,24.8,15.9,5.4,0.7,40.2,31.3,7.3,1.2,0.8,0.3,0.8,0.238,0.291,0.384,0.675,0.309,672356
438,Leo Rivas,SEA,S,SS,SS,34,113,96,11.1,1.1,8.2,4.7,20.3,14.6,4.2,0.4,28.6,29.5,14.8,1.0,0.8,0.3,1.2,0.211,0.319,0.297,0.617,0.290,660844
439,Anthony Rendon,LAA,R,3B,3B,32,112,97,11.9,2.1,11.0,1.9,23.8,16.6,4.8,0.2,35.4,19.7,11.2,1.8,0.7,0.3,0.5,0.244,0.329,0.363,0.693,0.284,12861
440,Eric Haase,MIL,R,C,C,34,112,103,11.7,3.7,11.8,0.9,22.3,14.8,3.5,0.3,37.4,36.3,7.4,0.8,0.8,0.3,0.2,0.216,0.271,0.362,0.633,0.290,606992
